id;type;score;bedrooms;type_bedroom;beds;type_bed;baths;type_bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
53822530;Rental unit in Madrid ;;1;studio;2;bed;2;bath;346367515;Ukio;ChamberÃ­;Almagro;4.043.547.181;-3.693.563.602;Entire home/apt;172;31;0;;;237;330;0;
53950878;Rental unit in Madrid ;;1;studio;1;bed;1;bath;24000035;Karolina Patricia;Centro;Justicia;4.042.335;-369.725;Entire home/apt;95;75;1;1/27/2022;0.04;1;358;0;
5,58E+22;Rental unit in Madrid ;;1;studio;2;bed;1;bath;238061469;Paola;Centro;Embajadores;4.040.935;-370.685;Entire home/apt;119;1;1;1/30/2023;0.09;4;155;1;
5,59E+22;Rental unit in Madrid ;;1;studio;2;bed;1;bath;432388023;Loic, Estelle And Co;Centro;Embajadores;40.410.034;-3.706.964;Entire home/apt;1000;1;0;;;1;364;0;
5,70E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;393673962;Valeria;Centro;Embajadores;4.041.172;-370.725;Entire home/apt;75;5;1;1/28/2023;0.09;1;359;1;
5,75E+22;Rental unit in Madrid ;;1;studio;2;bed;1;bath;444912851;Duke;TetuÃ¡n;Almenara;4.047.059;-369.341;Entire home/apt;93;1;1;1/31/2023;0.09;84;355;1;
5,82E+22;Loft in Madrid ;;1;studio;1;bed;1;bath;9032481;Alan;Centro;Embajadores;4.040.808;-370.964;Entire home/apt;100;5;1;12/14/2022;0.08;1;113;0;
5,99E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;434208714;Blueground;Moncloa - Aravaca;ArgÃ¼elles;404.218.434;-37.170.088;Entire home/apt;84;30;2;7/23/2022;0.1;166;316;0;
6,14E+22;Loft in Madrid ;;1;studio;1;bed;1;bath;34439173;Homely;Centro;Palacio;4.040.956;-371.352;Entire home/apt;71;32;1;7/24/2022;0.06;15;0;0;
6,44E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;37611348;Olber Inversiones;Centro;Universidad;4.042.366;-37.037;Entire home/apt;60;7;0;;;3;321;0;
6,69E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;105344430;Jorge;ChamberÃ­;Vallehermoso;4.044.062;-371.407;Entire home/apt;65;90;1;8/01/2023;0.22;24;137;1;
6,82E+22;Rental unit in Madrid ;;1;studio;3;bed;1;bath;466052734;Estela;ChamberÃ­;Vallehermoso;4.043.921;-370.642;Entire home/apt;67;7;2;9/08/2023;0.49;41;296;2;
6,84E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;ChamberÃ­;Gaztambide;4.043.582;-37.126;Entire home/apt;43;30;0;;;148;228;0;
6,84E+22;Serviced apartment in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Universidad;4.042.327;-370.157;Entire home/apt;63;30;0;;;148;349;0;
6,84E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Palacio;4.041.055;-371.145;Entire home/apt;49;30;0;;;148;197;0;
6,84E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;TetuÃ¡n;Berruguete;4.046.184;-370.145;Entire home/apt;62;30;0;;;148;318;0;
6,84E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Palacio;4.041.145;-371.622;Entire home/apt;57;30;0;;;148;289;0;
6,84E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Palacio;4.041.228;-370.939;Entire home/apt;46;30;0;;;148;364;0;
6,86E+21;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Universidad;404.286;-370.563;Entire home/apt;54;30;0;;;148;258;0;
6,84E+22;Condo in Madrid ;;1;studio;2;bed;1;bath;471977881;Rodrigo;Centro;Embajadores;4.040.977;-369.679;Entire home/apt;74;30;0;;;148;318;0;
6,85E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Cortes;404.145;-370.247;Entire home/apt;54;30;0;;;148;318;0;
6,85E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Universidad;4.042.337;-370.131;Entire home/apt;50;30;0;;;148;318;0;
6,86E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;ChamartÃ­n;Prosperidad;4.044.222;-367.286;Entire home/apt;81;30;0;;;148;289;0;
6,85E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Universidad;4.042.235;-37.038;Entire home/apt;51;30;0;;;148;289;0;
6,85E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Palacio;4.042.178;-370.927;Entire home/apt;63;30;0;;;148;198;0;
6,85E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Embajadores;4.040.964;-36.978;Entire home/apt;49;30;0;;;148;228;0;
6,99E+22;Rental unit in Madrid ;;1;studio;2;bed;1;bath;308706724;Emilio;Centro;Embajadores;4.040.858;-370.352;Entire home/apt;80;60;1;1/04/2023;0.09;2;365;1;
7,07E+22;Rental unit in Madrid ;;1;studio;2;bed;1;bath;99018982;Juan Y Bea;Latina;Puerta del Angel;4.041.446;-372.405;Entire home/apt;330;1;0;;;56;365;0;
7,05E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;477190159;Javier;Centro;Universidad;404.216;-370.375;Entire home/apt;83;3;2;6/30/2023;0.16;2;25;1;
